5617626.34736,1,cf029e2,4,8,e3,4f,7d,77,d5,7b,00,05,278256235,2024-05-31 17:23:56
5617626.35624,1,cf02ae2,4,8,c1,7c,37,7d,2a,7d,00,05,278256236,2024-05-31 17:23:56
5617626.35679,1,8f02de2,4,8,d7,7c,0a,7d,d1,80,00,00,278256237,2024-05-31 17:23:56
5617626.35733,1,cf029e2,4,8,e3,4f,7d,65,d5,7b,00,05,278256238,2024-05-31 17:23:56
5617626.36624,1,cf02ae2,4,8,bf,7c,36,7d,2b,7d,00,05,278256239,2024-05-31 17:23:56
5617626.36679,1,8f02de2,4,8,d7,7c,0a,7d,d2,80,00,00,278256240,2024-05-31 17:23:56
5617626.36734,1,cf029e2,4,8,df,4f,7d,55,d5,7b,00,05,278256241,2024-05-31 17:23:56
5617626.36774,2,cff3134,4,8,00,00,00,1b,00,00,00,00,278256242,2024-05-31 17:23:56
5617626.36856,1,9f8027f,4,8,00,fc,e1,51,00,00,ff,ff,278256243,2024-05-31 17:23:56
5617626.3691,1,9f8017f,4,8,63,0e,9e,16,6e,8f,fa,b6,278256244,2024-05-31 17:23:56
5617626.36966,1,9f1127f,4,8,00,08,ca,ff,7f,ba,08,fd,278256245,2024-05-31 17:23:56
5617626.3702,1,df1137f,4,8,00,c9,c5,09,00,cc,cd,2d,278256246,2024-05-31 17:23:56
5617626.37427,2,cfff125,4,8,8b,08,56,08,4a,08,01,00,278256247,2024-05-31 17:23:56
5617626.37617,2,18ffa081,4,8,00,00,ff,ff,ff,ff,ff,ff,278256248,2024-05-31 17:23:56
5617626.37624,1,cf02ae2,4,8,c1,7c,39,7d,26,7d,00,05,278256249,2024-05-31 17:23:56
5617626.37679,1,8f02de2,4,8,d7,7c,0a,7d,d2,80,00,00,278256250,2024-05-31 17:23:56
5617626.37686,2,18ffa181,4,8,00,ff,ff,ff,ff,ff,ff,ff,278256251,2024-05-31 17:23:56
5617626.37734,1,cf029e2,4,8,d5,4f,7d,46,d5,7b,00,05,278256252,2024-05-31 17:23:56
5617626.37754,2,18ffa481,4,8,00,00,ff,ff,ff,ff,ff,ff,278256253,2024-05-31 17:23:56
5617626.37814,2,cff3334,4,8,00,00,00,00,01,00,00,00,278256254,2024-05-31 17:23:56
5617626.38208,2,18fff329,4,8,01,00,03,00,00,00,00,00,278256255,2024-05-31 17:23:56
5617626.38624,1,cf02ae2,4,8,c2,7c,39,7d,24,7d,00,05,278256256,2024-05-31 17:23:56
5617626.38679,1,8f02de2,4,8,d7,7c,0a,7d,d2,80,00,00,278256257,2024-05-31 17:23:56
5617626.38734,1,cf029e2,4,8,c7,4f,7d,3d,d5,7b,00,05,278256258,2024-05-31 17:23:56
5617626.38886,2,18ff3029,4,8,03,01,55,00,03,00,00,00,278256259,2024-05-31 17:23:57
