492.57549,1,cf02ae2,4,8,0,7d,23,7d,bf,7a,0,5,189285,1999-12-31 19:08:07
492.57605,1,8f02de2,4,8,9,7d,20,7d,e4,80,0,0,189286,1999-12-31 19:08:07
492.5766,1,cf029e2,4,8,bc,2,7e,cb,3d,7c,0,5,189287,1999-12-31 19:08:07
492.58184,4,18ff8e28,4,8,0,0,fe,0f,52,e8,3,2,189288,1999-12-31 19:08:07
492.58548,1,cf02ae2,4,8,9,7d,19,7d,c7,7a,0,5,189289,1999-12-31 19:08:07
492.58603,1,8f02de2,4,8,7,7d,22,7d,e9,80,0,0,189290,1999-12-31 19:08:07
492.58659,1,cf029e2,4,8,13,3,7e,4d,3d,7c,0,5,189291,1999-12-31 19:08:07
492.58939,2,18ffc028,4,8,ab,10,c0,ff,28,0,9e,21,189292,1999-12-31 19:08:07
492.59203,4,cab0000,4,8,0,0,1,4,6b,10,0,0,189293,1999-12-31 19:08:07
492.59548,1,cf02ae2,4,8,0a,7d,12,7d,c5,7a,0,5,189294,1999-12-31 19:08:07
492.59603,1,8f02de2,4,8,4,7d,22,7d,ea,80,0,0,189295,1999-12-31 19:08:07
492.59659,1,cf029e2,4,8,81,3,7e,b5,3c,7c,0,5,189296,1999-12-31 19:08:07
492.59691,2,18ffc128,4,8,4d,5,b2,5,5,8,f2,7,189297,1999-12-31 19:08:07
492.60437,2,18ffc228,4,8,ff,7,e9,7,56,0c,4d,0c,189298,1999-12-31 19:08:07
492.60548,1,cf02ae2,4,8,2,7d,13,7d,c5,7a,0,5,189299,1999-12-31 19:08:07
492.60604,1,8f02de2,4,8,2,7d,21,7d,ed,80,0,0,189300,1999-12-31 19:08:07
492.6066,1,cf029e2,4,8,f0,3,7e,0b,3c,7c,0,5,189301,1999-12-31 19:08:07
492.60693,4,18ff8829,4,8,0,0,4b,2,60,3,0,0,189302,1999-12-31 19:08:07
492.61548,1,cf02ae2,4,8,2,7d,15,7d,c8,7a,0,5,189303,1999-12-31 19:08:07
492.61604,3,18ff050e,4,8,0,0,0,0,11,0,0,10,189304,1999-12-31 19:08:07
492.61605,1,8f02de2,4,8,3,7d,20,7d,f0,80,0,0,189305,1999-12-31 19:08:07
492.6166,1,cf029e2,4,8,4f,4,7e,64,3b,7c,0,5,189306,1999-12-31 19:08:07
492.61735,3,18ff020f,4,8,0,0,0,0,0,0,0,0,189307,1999-12-31 19:08:07
492.62548,1,cf02ae2,4,8,8,7d,16,7d,c7,7a,0,5,189308,1999-12-31 19:08:07
492.62605,1,8f02de2,4,8,7,7d,20,7d,ef,80,0,0,189309,1999-12-31 19:08:07
492.62661,1,cf029e2,4,8,ad,4,7e,c1,3a,7c,0,5,189310,1999-12-31 19:08:07
492.63287,3,18ff0410,4,8,0,0,0,0,0,0,0,0,189311,1999-12-31 19:08:07
492.63548,1,cf02ae2,4,8,fa,7c,1b,7d,c5,7a,0,5,189312,1999-12-31 19:08:07
492.63604,1,8f02de2,4,8,0a,7d,21,7d,ed,80,0,0,189313,1999-12-31 19:08:07
492.6366,1,cf029e2,4,8,15,5,7e,22,3a,7c,0,5,189314,1999-12-31 19:08:07
492.64325,4,18ff8929,4,8,1,10,0,2,0,6,3,2,189315,1999-12-31 19:08:07
492.64548,1,cf02ae2,4,8,ed,7c,1a,7d,c7,7a,0,5,189316,1999-12-31 19:08:07
492.64603,1,8f02de2,4,8,0d,7d,1d,7d,ea,80,0,0,189317,1999-12-31 19:08:07
492.64659,1,cf029e2,4,8,5e,5,7e,8c,39,7c,0,5,189318,1999-12-31 19:08:07
492.65547,1,cf02ae2,4,8,ed,7c,27,7d,c7,7a,0,5,189319,1999-12-31 19:08:07
492.65604,1,8f02de2,4,8,0f,7d,19,7d,e6,80,0,0,189320,1999-12-31 19:08:07
492.6566,1,cf029e2,4,8,89,5,7e,f9,38,7c,0,5,189321,1999-12-31 19:08:07
492.66548,1,cf02ae2,4,8,e7,7c,35,7d,c0,7a,0,5,189322,1999-12-31 19:08:07
492.66604,1,8f02de2,4,8,12,7d,19,7d,e3,80,0,0,189323,1999-12-31 19:08:07
492.6666,1,cf029e2,4,8,af,5,7e,83,38,7c,0,5,189324,1999-12-31 19:08:07
492.6691,1,cff2180,4,8,b0,0,0,0,0,0,0,0,189325,1999-12-31 19:08:07
492.67548,1,cf02ae2,4,8,d3,7c,3e,7d,c1,7a,0,5,189326,1999-12-31 19:08:07
492.67605,1,8f02de2,4,8,15,7d,1c,7d,e2,80,0,0,189327,1999-12-31 19:08:07
492.6766,1,cf029e2,4,8,c3,5,7e,31,38,7c,0,5,189328,1999-12-31 19:08:07
492.67994,4,18ff8a29,4,8,0,0,0,0,91,1,af,1,189329,1999-12-31 19:08:07
492.68548,1,cf02ae2,4,8,cc,7c,4b,7d,c3,7a,0,5,189330,1999-12-31 19:08:07
492.68604,1,8f02de2,4,8,16,7d,1f,7d,e1,80,0,0,189331,1999-12-31 19:08:07
492.68659,1,cf029e2,4,8,aa,5,7e,f7,37,7c,0,5,189332,1999-12-31 19:08:07
492.69547,1,cf02ae2,4,8,c6,7c,55,7d,bd,7a,0,5,189333,1999-12-31 19:08:07
492.69603,1,8f02de2,4,8,18,7d,1d,7d,e0,80,0,0,189334,1999-12-31 19:08:07
492.6966,1,cf029e2,4,8,7c,5,7e,dd,37,7c,0,5,189335,1999-12-31 19:08:07
492.70344,2,cff3134,4,8,2,0d,e8,3,90,10,0c,0c,189336,1999-12-31 19:08:07
492.70347,4,cff3234,4,8,0,0,0,0,0,0,0,0,189337,1999-12-31 19:08:07
492.70548,1,cf02ae2,4,8,ba,7c,56,7d,be,7a,0,5,189338,1999-12-31 19:08:07
492.70604,1,8f02de2,4,8,1c,7d,19,7d,df,80,0,0,189339,1999-12-31 19:08:07
492.7066,1,cf029e2,4,8,3c,5,7e,db,37,7c,0,5,189340,1999-12-31 19:08:07
492.71548,1,cf02ae2,4,8,b0,7c,5f,7d,bb,7a,0,5,189341,1999-12-31 19:08:07
492.71605,1,8f02de2,4,8,1f,7d,1b,7d,df,80,0,0,189342,1999-12-31 19:08:07
492.71644,4,18ff8d29,4,8,0,0,9,11,51,e8,3,2,189343,1999-12-31 19:08:07
492.71661,1,cf029e2,4,8,e0,4,7e,df,37,7c,0,5,189344,1999-12-31 19:08:07
492.71782,3,18ff050f,4,8,0,0,0,0,0,0,0,10,189345,1999-12-31 19:08:07
492.72548,1,cf02ae2,4,8,a5,7c,61,7d,ad,7a,0,5,189346,1999-12-31 19:08:07
492.72604,1,8f02de2,4,8,22,7d,1f,7d,e3,80,0,0,189347,1999-12-31 19:08:07
492.72659,1,cf029e2,4,8,6a,4,7e,f9,37,7c,0,5,189348,1999-12-31 19:08:07
492.73338,3,18ff0910,4,8,5,3c,0,e4,0,e4,0,0,189349,1999-12-31 19:08:07
492.73441,4,cab0001,4,8,0,0,1,4,6b,10,0,0,189350,1999-12-31 19:08:07
492.73548,1,cf02ae2,4,8,9a,7c,5a,7d,b2,7a,0,5,189351,1999-12-31 19:08:07
492.73604,1,8f02de2,4,8,24,7d,1d,7d,e6,80,0,0,189352,1999-12-31 19:08:07
492.7366,1,cf029e2,4,8,d8,3,7e,16,38,7c,0,5,189353,1999-12-31 19:08:07
492.74548,1,cf02ae2,4,8,9a,7c,53,7d,b2,7a,0,5,189354,1999-12-31 19:08:07
492.74604,1,8f02de2,4,8,23,7d,19,7d,ea,80,0,0,189355,1999-12-31 19:08:07
492.7466,1,cf029e2,4,8,2c,3,7e,22,38,7c,0,5,189356,1999-12-31 19:08:07
492.74677,2,18ff8d29,4,8,0,0,9,11,51,e8,3,2,189357,1999-12-31 19:08:07
492.75549,1,cf02ae2,4,8,9b,7c,58,7d,a6,7a,0,5,189358,1999-12-31 19:08:07
492.75605,1,8f02de2,4,8,23,7d,19,7d,ed,80,0,0,189359,1999-12-31 19:08:07
492.75661,1,cf029e2,4,8,7c,2,7e,1f,38,7c,0,5,189360,1999-12-31 19:08:07
492.76547,1,cf02ae2,4,8,9c,7c,53,7d,a7,7a,0,5,189361,1999-12-31 19:08:07
492.76604,1,8f02de2,4,8,20,7d,19,7d,f2,80,0,0,189362,1999-12-31 19:08:07
492.76659,1,cf029e2,4,8,ce,1,7e,23,38,7c,0,5,189363,1999-12-31 19:08:07
492.77548,1,cf02ae2,4,8,a8,7c,4c,7d,af,7a,0,5,189364,1999-12-31 19:08:07
492.77604,1,8f02de2,4,8,1d,7d,16,7d,f6,80,0,0,189365,1999-12-31 19:08:07
492.7766,1,cf029e2,4,8,25,1,7e,1b,38,7c,0,5,189366,1999-12-31 19:08:07
492.77911,1,cff2180,4,8,b0,0,0,0,0,0,0,0,189367,1999-12-31 19:08:07
492.78322,2,18ff3029,4,8,0,0,0,0,0,0,90,1,189368,1999-12-31 19:08:07
492.78548,1,cf02ae2,4,8,ab,7c,4b,7d,a8,7a,0,5,189369,1999-12-31 19:08:07
492.78604,1,8f02de2,4,8,1b,7d,14,7d,fc,80,0,0,189370,1999-12-31 19:08:07
492.7866,1,cf029e2,4,8,98,0,7e,6,38,7c,0,5,189371,1999-12-31 19:08:07
492.79548,1,cf02ae2,4,8,b4,7c,41,7d,a4,7a,0,5,189372,1999-12-31 19:08:07
492.79604,1,8f02de2,4,8,19,7d,15,7d,6,81,0,0,189373,1999-12-31 19:08:07
492.7966,1,cf029e2,4,8,15,0,7e,ea,37,7c,0,5,189374,1999-12-31 19:08:07
492.80549,1,cf02ae2,4,8,bf,7c,3a,7d,9f,7a,0,5,189375,1999-12-31 19:08:07
492.80605,1,8f02de2,4,8,17,7d,18,7d,0f,81,0,0,189376,1999-12-31 19:08:07
492.80661,1,cf029e2,4,8,a7,ff,7d,b8,37,7c,0,5,189377,1999-12-31 19:08:07
492.81548,1,cf02ae2,4,8,d5,7c,36,7d,9e,7a,0,5,189378,1999-12-31 19:08:07
492.81604,1,8f02de2,4,8,15,7d,18,7d,15,81,0,0,189379,1999-12-31 19:08:07
492.8166,1,cf029e2,4,8,56,ff,7d,72,37,7c,0,5,189380,1999-12-31 19:08:07
492.81947,4,18ff3029,4,8,0,0,0,0,0,0,90,1,189381,1999-12-31 19:08:07
492.82548,1,cf02ae2,4,8,e5,7c,33,7d,a3,7a,0,5,189382,1999-12-31 19:08:07
492.82604,1,8f02de2,4,8,16,7d,13,7d,16,81,0,0,189383,1999-12-31 19:08:07
492.8266,1,cf029e2,4,8,3b,ff,7d,21,37,7c,0,5,189384,1999-12-31 19:08:07
492.83364,3,18ff0210,4,8,0,0,0,0,0,0,0,0,189385,1999-12-31 19:08:07
492.83549,1,cf02ae2,4,8,f1,7c,3d,7d,a4,7a,0,5,189386,1999-12-31 19:08:07
492.83605,1,8f02de2,4,8,16,7d,0e,7d,15,81,0,0,189387,1999-12-31 19:08:07
492.8366,1,cf029e2,4,8,49,ff,7d,cb,36,7c,0,5,189388,1999-12-31 19:08:07
492.84178,4,cab0000,4,8,0,0,1,4,6b,10,0,0,189389,1999-12-31 19:08:07
492.84498,4,18ff8c28,4,8,0,0,0,0,0,0,0,0,189390,1999-12-31 19:08:07
492.84549,1,cf02ae2,4,8,4,7d,4e,7d,9f,7a,0,5,189391,1999-12-31 19:08:07
492.84605,1,8f02de2,4,8,15,7d,0c,7d,10,81,0,0,189392,1999-12-31 19:08:07
492.8466,1,cf029e2,4,8,79,ff,7d,8f,36,7c,0,5,189393,1999-12-31 19:08:07
492.8524,4,18ff8728,4,8,10,0,0,5,0,2,0c,0,189394,1999-12-31 19:08:07
492.85549,1,cf02ae2,4,8,11,7d,4a,7d,a2,7a,0,5,189395,1999-12-31 19:08:07
492.85602,4,18ab0a29,4,8,0,0,0,0,1e,0,5,0,189396,1999-12-31 19:08:07
492.85605,1,8f02de2,4,8,14,7d,0d,7d,8,81,0,0,189397,1999-12-31 19:08:07
492.8566,1,cf029e2,4,8,d5,ff,7d,76,36,7c,0,5,189398,1999-12-31 19:08:07
492.85992,4,18ff8e28,4,8,0,0,fe,0f,52,e8,3,2,189399,1999-12-31 19:08:07
492.86548,1,cf02ae2,4,8,17,7d,4e,7d,a1,7a,0,5,189400,1999-12-31 19:08:07
492.86604,1,8f02de2,4,8,12,7d,0b,7d,fd,80,0,0,189401,1999-12-31 19:08:07
492.8666,1,cf029e2,4,8,54,0,7e,59,36,7c,0,5,189402,1999-12-31 19:08:07
492.86743,2,18ffc028,4,8,ae,10,c0,ff,28,0,9e,21,189403,1999-12-31 19:08:07
492.87489,2,18ffc128,4,8,4d,5,b2,5,5,8,f2,7,189404,1999-12-31 19:08:07
492.87549,1,cf02ae2,4,8,1f,7d,64,7d,96,7a,0,5,189405,1999-12-31 19:08:07
492.87605,1,8f02de2,4,8,12,7d,0a,7d,ed,80,0,0,189406,1999-12-31 19:08:07
492.8766,1,cf029e2,4,8,e3,0,7e,4a,36,7c,0,5,189407,1999-12-31 19:08:07
492.88233,2,18ffc228,4,8,ff,7,e9,7,56,0c,4d,0c,189408,1999-12-31 19:08:07
492.88548,1,cf02ae2,4,8,1e,7d,60,7d,94,7a,0,5,189409,1999-12-31 19:08:07
492.88605,1,8f02de2,4,8,13,7d,0f,7d,db,80,0,0,189410,1999-12-31 19:08:07
492.8866,1,cf029e2,4,8,84,1,7e,68,36,7c,0,5,189411,1999-12-31 19:08:07
492.88911,1,cff2180,4,8,b0,0,0,0,0,0,0,0,189412,1999-12-31 19:08:07
492.89261,4,18ab0b29,4,8,0,0,0,0,1e,0,5,0,189413,1999-12-31 19:08:07
492.89549,1,cf02ae2,4,8,1e,7d,51,7d,97,7a,0,5,189414,1999-12-31 19:08:07
492.89605,1,8f02de2,4,8,12,7d,17,7d,c8,80,0,0,189415,1999-12-31 19:08:07
492.89661,1,cf029e2,4,8,24,2,7e,7f,36,7c,0,5,189416,1999-12-31 19:08:07
492.90549,1,cf02ae2,4,8,18,7d,5c,7d,94,7a,0,5,189417,1999-12-31 19:08:07
492.90605,1,8f02de2,4,8,13,7d,1d,7d,b4,80,0,0,189418,1999-12-31 19:08:07
492.9066,1,cf029e2,4,8,c2,2,7e,77,36,7c,0,5,189419,1999-12-31 19:08:07
492.91549,1,cf02ae2,4,8,0a,7d,57,7d,94,7a,0,5,189420,1999-12-31 19:08:07
492.91605,1,8f02de2,4,8,15,7d,1d,7d,9e,80,0,0,189421,1999-12-31 19:08:07
492.91661,1,cf029e2,4,8,51,3,7e,83,36,7c,0,5,189422,1999-12-31 19:08:07
492.92548,1,cf02ae2,4,8,fb,7c,4b,7d,98,7a,0,5,189423,1999-12-31 19:08:07
492.92604,1,8f02de2,4,8,16,7d,1a,7d,86,80,0,0,189424,1999-12-31 19:08:07
492.9266,1,cf029e2,4,8,be,3,7e,83,36,7c,0,5,189425,1999-12-31 19:08:07
492.92894,4,18ab0c29,4,8,fa,0,fa,0,1e,3,0,0,189426,1999-12-31 19:08:07
492.93427,3,18ff0510,4,8,0,0,0,0,0,10,1,10,189427,1999-12-31 19:08:07
492.93548,1,cf02ae2,4,8,ed,7c,53,7d,93,7a,0,5,189428,1999-12-31 19:08:07
492.93604,1,8f02de2,4,8,18,7d,1e,7d,73,80,0,0,189429,1999-12-31 19:08:07
492.93659,1,cf029e2,4,8,5,4,7e,6b,36,7c,0,5,189430,1999-12-31 19:08:07
492.94549,1,cf02ae2,4,8,e0,7c,5f,7d,89,7a,0,5,189431,1999-12-31 19:08:07
492.94605,1,8f02de2,4,8,1b,7d,24,7d,68,80,0,0,189432,1999-12-31 19:08:07
492.94661,1,cf029e2,4,8,28,4,7e,65,36,7c,0,5,189433,1999-12-31 19:08:07
492.95549,1,cf02ae2,4,8,cb,7c,60,7d,84,7a,0,5,189434,1999-12-31 19:08:07
492.95605,1,8f02de2,4,8,1d,7d,26,7d,63,80,0,0,189435,1999-12-31 19:08:07
492.95661,1,cf029e2,4,8,27,4,7e,79,36,7c,0,5,189436,1999-12-31 19:08:07
492.96533,2,18ffb029,4,8,c4,0,c4,9,b8,0b,0,0,189437,1999-12-31 19:08:07
492.96549,1,cf02ae2,4,8,bc,7c,65,7d,87,7a,0,5,189438,1999-12-31 19:08:07
492.96605,1,8f02de2,4,8,20,7d,25,7d,61,80,0,0,189439,1999-12-31 19:08:07
492.96661,1,cf029e2,4,8,f3,3,7e,91,36,7c,0,5,189440,1999-12-31 19:08:07
492.97549,1,cf02ae2,4,8,ac,7c,64,7d,82,7a,0,5,189441,1999-12-31 19:08:07
492.97605,1,8f02de2,4,8,21,7d,22,7d,64,80,0,0,189442,1999-12-31 19:08:07
492.97661,1,cf029e2,4,8,97,3,7e,b4,36,7c,0,5,189443,1999-12-31 19:08:07
492.98418,4,cab0001,4,8,0,0,1,4,6b,10,0,0,189444,1999-12-31 19:08:07
492.98549,1,cf02ae2,4,8,9e,7c,64,7d,82,7a,0,5,189445,1999-12-31 19:08:07
492.98606,1,8f02de2,4,8,21,7d,20,7d,6c,80,0,0,189446,1999-12-31 19:08:07
492.98662,1,cf029e2,4,8,13,3,7e,d6,36,7c,0,5,189447,1999-12-31 19:08:07
492.99549,1,cf02ae2,4,8,8f,7c,67,7d,7c,7a,0,5,189448,1999-12-31 19:08:07
492.99607,1,8f02de2,4,8,23,7d,1f,7d,7d,80,0,0,189449,1999-12-31 19:08:07
492.99663,1,cf029e2,4,8,6c,2,7e,f8,36,7c,0,5,189450,1999-12-31 19:08:07
492.99803,4,18ff8f50,4,8,0,0,0,0,0,0,0,0,189451,1999-12-31 19:08:07
