5615452.50466,2,18ff8c29,4,8,43,f2,3,7c,11,0,0,0,277200691,2024-05-31 16:47:43
5615452.50475,1,cf029e2,4,8,d5,6c,7d,1c,33,7c,0,5,277200692,2024-05-31 16:47:43
5615452.5117,2,18ff8f29,4,8,0,0,0,0,0,0,0,0,277200693,2024-05-31 16:47:43
5615452.51301,1,cf02ae2,4,8,c0,7c,f6,7c,24,7d,0,5,277200694,2024-05-31 16:47:43
5615452.51357,1,8f02de2,4,8,e3,7c,10,7d,d0,80,0,0,277200695,2024-05-31 16:47:43
5615452.51413,1,cf029e2,4,8,f8,6c,7d,55,32,7c,0,5,277200696,2024-05-31 16:47:43
5615452.51859,2,18fefc29,4,8,0,0,0,47,0,0,0,0,277200697,2024-05-31 16:47:43
5615452.52142,2,cfff225,4,8,d4,7,18,8,18,8,1,0,277200698,2024-05-31 16:47:43
5615452.52301,1,cf02ae2,4,8,c5,7c,f3,7c,22,7d,0,5,277200699,2024-05-31 16:47:43
5615452.52357,1,8f02de2,4,8,e3,7c,10,7d,cf,80,0,0,277200700,2024-05-31 16:47:43
5615452.52413,1,cf029e2,4,8,1e,6d,7d,7b,31,7c,0,5,277200701,2024-05-31 16:47:43
5615452.52567,2,18ff8d29,4,8,0,0,0,0,0,1,0,0,277200702,2024-05-31 16:47:43
5615452.53242,2,18ff1529,4,8,0,0,0,0,0,0,0,0,277200703,2024-05-31 16:47:43
5615452.533,1,cf02ae2,4,8,c6,7c,f0,7c,27,7d,0,5,277200704,2024-05-31 16:47:43
5615452.53357,1,8f02de2,4,8,e2,7c,10,7d,cf,80,0,0,277200705,2024-05-31 16:47:43
5615452.53412,1,cf029e2,4,8,43,6d,7d,8b,30,7c,0,5,277200706,2024-05-31 16:47:43
5615452.54177,2,18ffa081,4,8,90,2,ff,ff,ff,ff,ff,ff,277200707,2024-05-31 16:47:43
5615452.54245,2,18ffa181,4,8,5,ff,ff,ff,ff,ff,ff,ff,277200708,2024-05-31 16:47:43
5615452.543,1,cf02ae2,4,8,c2,7c,f3,7c,27,7d,0,5,277200709,2024-05-31 16:47:43
5615452.54314,2,18ffa481,4,8,0,0,ff,ff,ff,ff,ff,ff,277200710,2024-05-31 16:47:43
